dates,tension,temperature,deltaH,experiment
NA,1.20147,17.0606541861674,-0.002,p530_2019-04-30_calibUH.csv
NA,1.18132,17.0606541861674,0.006,p530_2019-04-30_calibUH.csv
NA,1.1514,17.0606541861674,0.016,p530_2019-04-30_calibUH.csv
NA,1.11844,17.0606541861674,0.026,p530_2019-04-30_calibUH.csv
NA,1.08608,17.0606541861674,0.036,p530_2019-04-30_calibUH.csv
NA,1.05311,17.0606541861674,0.046,p530_2019-04-30_calibUH.csv
NA,1.01954,17.0606541861674,0.056,p530_2019-04-30_calibUH.csv
NA,0.97741,17.0606541861674,0.068,p530_2019-04-30_calibUH.csv
NA,0.94567,17.0606541861674,0.079,p530_2019-04-30_calibUH.csv
NA,0.90476,17.0606541861674,0.092,p530_2019-04-30_calibUH.csv
NA,0.83944,17.0606541861674,0.112,p530_2019-04-30_calibUH.csv
NA,0.779,17.0606541861674,0.131,p530_2019-04-30_calibUH.csv
NA,0.74908,17.0606541861674,0.142,p530_2019-04-30_calibUH.csv
NA,0.70147,17.0606541861674,0.156,p530_2019-04-30_calibUH.csv
NA,0.63472,17.0606541861674,0.188,p530_2019-04-30_calibUH.csv
NA,1.18559,17.0606541861674,0.005,p530_2019-04-30_calibUH.csv
NA,1.2033,17.0606541861674,0,p530_2019-04-30_calibUH.csv
NA,1.23443,17.0606541861674,-0.01,p530_2019-04-30_calibUH.csv
NA,1.2619,17.0606541861674,-0.02,p530_2019-04-30_calibUH.csv
NA,1.30159,17.0606541861674,-0.03,p530_2019-04-30_calibUH.csv
NA,1.3315,17.0606541861674,-0.04,p530_2019-04-30_calibUH.csv
NA,1.36142,17.0606541861674,-0.05,p530_2019-04-30_calibUH.csv
NA,1.39744,17.0606541861674,-0.06,p530_2019-04-30_calibUH.csv
NA,1.4304,17.0606541861674,-0.07,p530_2019-04-30_calibUH.csv
NA,1.46581,17.0606541861674,-0.08,p530_2019-04-30_calibUH.csv
NA,1.49328,17.0606541861674,-0.09,p530_2019-04-30_calibUH.csv
NA,1.52259,17.0606541861674,-0.1,p530_2019-04-30_calibUH.csv
NA,1.55556,17.0606541861674,-0.112,p530_2019-04-30_calibUH.csv
NA,1.59076,17.0606541861674,-0.122,p530_2019-04-30_calibUH.csv
NA,1.61355,17.0606541861674,-0.13,p530_2019-04-30_calibUH.csv
NA,1.72222,17.0606541861674,-0.165,p530_2019-04-30_calibUH.csv
NA,1.80342,17.0606541861674,-0.19,p530_2019-04-30_calibUH.csv
NA,1.96581,17.0606541861674,-0.24,p530_2019-04-30_calibUH.csv
NA,2.12332,17.0606541861674,-0.29,p530_2019-04-30_calibUH.csv
NA,2.33516,17.0606541861674,-0.355,p530_2019-04-30_calibUH.csv
23/04/2019 17:43:22,1.28893,25.984,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:44:22,1.28943,25.665,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:52:22,1.29267,24.753,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:56:22,1.29133,24.729,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:57:22,1.29175,24.696,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:58:22,1.29362,24.702,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 17:59:22,1.29328,24.677,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:00:22,1.28977,24.662,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:01:22,1.28882,24.661,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:02:22,1.28954,24.608,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:03:22,1.28981,24.582,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:04:22,1.29,24.566,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:05:22,1.2903,24.531,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:06:22,1.29034,24.508,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:07:22,1.29,24.489,0.02,p530_2019_04_24_calibUT_1.csv
23/04/2019 18:08:22,1.28779,24.454,0.02,p530_2019_04_24_calibUT_1.csv
